Current Time,Light Sensor Input,Sound Sensor Input,Start Time
2020-05-11 10:34:31.487475,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:34:33.968402,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:34:34.089650,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:34:36.090948,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:34:38.568924,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:34:38.695288,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:34:40.691240,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:34:43.169492,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:34:43.276855,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:34:45.291539,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:34:47.753399,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:34:47.842671,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:34:49.875643,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:34:52.287463,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:34:54.409131,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:34:56.888234,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:34:59.011481,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:35:01.489711,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:35:01.601450,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:35:03.611801,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:35:06.006905,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:35:06.102973,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:35:08.128681,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:35:10.611193,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:35:10.718364,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:35:12.731731,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:35:15.209650,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:35:15.304892,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:35:17.335144,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:35:19.817518,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:35:21.938790,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:35:23.530780,FALSE,1,2020-05-11 10:31:23.070889
2020-05-11 10:35:23.626398,FALSE,1,2020-05-11 10:31:23.070889
2020-05-11 10:35:24.434753,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:35:26.556179,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:35:28.972841,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:35:31.115803,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:35:33.408759,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:35:33.509819,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:35:35.573155,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:35:37.817793,1,0,2020-05-11 10:31:23.070889
